id,cat,type,diff,q,ctx,unit,tolerance,accept,choice1,choice2,choice3,choice4,correct,explain,cite
C05,calc,numerical,3,当該月にアクティブボーナスのみを取得した場合、メインボーナスの <b>支払上限額</b> はいくらですか？（万円単位）,"支払上限額：Active取得のみ=20万円, Star=50万円, Star+BP=100万円",万円,0,20,,,,,,メインボーナス支払上限額は、活動実績により異なり：<br>・アクティブ取得のみ：<b>20万円</b><br>・スターメンバーボーナス取得：50万円<br>・スター＋BPボーナス取得：100万円,概要書面 P23「メインボーナス · 支払上限額」
C06,calc,numerical,2,月間4箱以上購入した場合、4箱目以降の1箱あたりの計上BVはいくらですか？,"4箱以上 → 4箱目以降 <b>1箱 2,200BV</b> を計上",BV,0,2200,,,,,,"月間4箱以上購入すると、合計4箱目以降は <b>1箱につき 2,200BV</b> を計上します（本人のメインボーナス組織に積算）。",概要書面 P23「BV補足」
C07,calc,numerical,3,"月間の総ビジネスポイントが 5,000,000BP でした。スターメンバーボーナス取得者が3名いる場合、1人あたりのスターメンバーボーナス額は？（<b>総BP × 1%</b> を均等配分）",スターメンバーボーナス：総BP × 1% を取得権利者で均等配分,円,1,16667,,,,,,"5,000,000 × 1% = 50,000円 ÷ 3名 = <b>約16,666円</b>（小数点以下端数処理は四捨五入）。",概要書面 P21「スターメンバーボーナス · ボーナス内容」
C08,calc,numerical,3,"月間の総ビジネスポイントが 10,000,000BP。BPボーナス取得者が5名。1人あたりのBPボーナス額は？（<b>総BP × 5%</b>）",BPボーナス：総BP × 5% を BPボーナス取得権利者で均等配分,円,1,100000,,,,,,"10,000,000 × 5% = 500,000円 ÷ 5名 = <b>100,000円 / 名</b>。",概要書面 P26「BPボーナス · ボーナス内容」
C09,calc,numerical,3,"月間の総ビジネスポイントが 8,000,000BP。ABPボーナス取得者が4名。1人あたりのABPボーナス額は？（<b>総BP × 2%</b>）",ABPボーナス：総BP × 2% を ABPボーナス取得権利者で均等配分,円,1,40000,,,,,,"8,000,000 × 2% = 160,000円 ÷ 4名 = <b>40,000円 / 名</b>。",概要書面 P28「ABPボーナス · ボーナス内容」
C10,calc,numerical,2,"アクティブボーナス1口取得（2,400円）とメインボーナス6,000円が発生。ゆうちょ銀行への振込。受取金額は？<br>（ゆうちょ770円（税込）が差し引かれる）","2,400円 + 6,000円 = 8,400円 → ゆうちょ770円（税込）差し引き",円,0,7630,,,,,,"合計 8,400円 − 事務手数料 <b>770円</b>（ゆうちょ・税込） = <b>7,630円</b>。",概要書面「ボーナス支払事務手数料」
P01,partner,choice,1,EOSビジネスパートナー（EOS-BP）は全部で何段階の制度ですか？,,,,,2段階（BP / EBP）,3段階（BP / ABP / EBP）,4段階（BP / ABP / EBP / 取締役）,EOS-BPは段階に分かれていない,2,EOS-BPには <b>3つの段階</b> があり、段階別の条件を達成することで、その段階に応じたボーナスをお支払いします：<b>BP → ABP → EBP</b>。,概要書面 P25〜「EOS-BP 制度のご紹介」
P02,partner,choice,2,EOS-BPの認定を受けるための必須要件はどれですか？,,,,,年間ボーナス100万円以上の獲得,認定会の受講＋認定試験合格,最大ポジション数の獲得,所属グループの代表になること,2,EOS-BPは認定制度であり、所定の基準を満たした上で、当社が実施する <b>「EOS-BP認定会」</b> を受講し、認定試験に合格することが認定条件です。,概要書面 P25「EOS-BP 認定条件」
P03,partner,choice,2,EOS-ABPの認定条件は「条件I」と「条件II」のどちらかを満たすことですが、条件Iを続ける期間は？,,,,,1ヶ月,3ヶ月連続,6ヶ月連続,12ヶ月連続,2,条件Iは「認定を受けるポジションで以下の基準を同時に <b>3ヶ月連続</b> で達成すること」。,概要書面 P27「EOS-ABP · 条件I」
P04,partner,choice,3,EOS-EBPの認定に必要な「期間内の達成月数」はどれくらいですか？,EBPの達成期間：毎年 12月度〜翌5月度 の6ヶ月間、または 6月度〜11月度 の6ヶ月間,,,,2ヶ月達成,3ヶ月達成,4ヶ月達成,6ヶ月連続達成,3,当該ポジションで EBPボーナス取得条件期間（毎年12月度〜翌5月度、または6月度〜11月度の各6ヶ月間）内に <b>4ヶ月達成</b> することが必要です。,概要書面 P29「EBPボーナス取得条件期間」
P05,partner,choice,2,「ボードメンバー」の認定基準は何ですか？,,,,,"年間ボーナス1,000万円以上",日本のEOSまたはEOS台湾で3ポジション以上同時にEBP認定基準達成,グループ内にBPが30名以上,ABP認定から3年経過,2,日本のEOSまたはEOS台湾で <b>3ポジション以上同時に EBP認定基準</b> を達成すること（EBPカウント中のポジションは含みません）。,概要書面 P30「ボードメンバー認定基準」
P06,partner,numerical,3,ワールドボーナス取得条件期間における「前年度12月度〜11月度（12ヶ月間）」のうち、何ヶ月間条件を達成する必要がありますか？,,ヶ月,0,9,,,,,,前年の12月度〜11月度の12ヶ月間で、ワールドボーナス取得条件（メインボーナス組織の左右にABPボーナス取得者・または左右とも単月480万BV等）を <b>9ヶ月達成</b> することが必要です。,概要書面 P31「ワールドボーナス · 取得条件」
P07,partner,choice,3,ABPボーナス（総BP × 2%）を取得するための条件IIの一例として正しいのはどれ？,,,,,当該ポジションでBPボーナスを取得し、メインボーナス組織(左右)が単月480万BV以上,当該月だけでアクティブボーナス1口のみを取得,"全グループから1ポジションあたり8,000PV以上",紹介者系列組織に10系列以上のBP,1,条件IIの例として、(1)当該ポジションで BPボーナスを取得、(2)メインボーナス組織（バイナリー系列）の左右が <b>単月480万BV以上</b> などを満たす必要があります。,概要書面 P28「ABPボーナス · 条件II」
P08,partner,choice,2,ワールドボーナスの配分率と支払い頻度は？,,,,,年間BVの0.2% ／ 年1回（11月度）,年間BVの2% ／ 年2回,年間BVの5% ／ 年4回,月間BPの0.2% ／ 月1回,1,前年度実績（12月度〜翌11月度）の総ビジネスポイントの <b>0.2%</b> を、ワールドボーナス取得権利者で均等分配し、 <b>年1回（11月度）</b> まとめてお支払いします。,概要書面 P31「ワールドボーナス · ボーナス内容」
P09,partner,numerical,3,アクティブボーナス取得条件「直接紹介した会員のうち、アクティブボーナス取得者が2名以上」。<br>条件を満たす最小人数は？,,名,0,2,,,,,,自らがアクティブボーナスを取得し、かつ直接紹介した会員のうち <b>2名以上</b> のアクティブボーナス取得者がいることが条件です。,概要書面 P17「アクティブボーナス取得条件」
P10,partner,choice,3,スターメンバーボーナスの取得条件「紹介者系列組織（スポンサー系列）内で2系列以上に〇名以上」——〇に入る数字は？,,,,,1名,2名,3名,5名,3,自らがアクティブボーナスを取得し、紹介者系列組織(スポンサー系列)内で <b>2系列以上に3名以上</b> のアクティブボーナス取得者がいることが条件です。,概要書面 P21「スターメンバーボーナス · 取得条件」
